Painting,Artist,Age.at.Painting,Age.at.Death
Salvator Mundi,Leonardo da Vinci,48,58
Interchange,Willem de Kooning,51,93
The Card Players,Paul CÈzanne,54,67
Nafea Faa Ipoipo (When Will You Marry?),Paul Gauguin,44,55
Number 17A,Jackson Pollock,36,44
Wasserschlangen II,Gustav Klimt,43,55
"No. 6 (Violet, Green and Red)",Mark Rothko,48,66
Pendant portraits of Maerten Soolmans and Oopjen Coppit,Rembrandt,28,63
Les Femmes d'Alger ('Version O'),Pablo Picasso,73,91
The Standard Bearer,Rembrandt,30,63
Shot Sage Blue Marilyn,Andy Warhol,36,58
Nu couch√©,Amedeo Modigliani,34,35
"No. 5, 1948",Jackson Pollock,36,44
Woman III,Willem de Kooning,49,92
Masterpiece,Roy Lichtenstein,39,73
Portrait of Adele Bloch-Bauer I,Gustav Klimt,45,55
Le R√™ve,Pablo Picasso,50,91
Portrait of Dr. Gachet,Vincent van Gogh,37,37
Nu couch√© (sur le c√¥t√© gauche),Amedeo Modigliani,33,35
Portrait of Adele Bloch-Bauer II,Gustav Klimt,50,55
Three Studies of Lucian Freud,Francis Bacon,60,82
Bal du moulin de la Galette,Pierre-Auguste Renoir,35,78
Twelve†Landscape†Screens,Qi†Baishi,62,93
The†Scream[note†10],Edvard†Munch,30,80
Reclining†Nude†With†Blue†Cushion,Amedeo†Modigliani,33,35
Otahi,Paul†Gauguin,45,54
"Les†Poseuses,†Ensemble†(Petite†version)",Georges†Seurat,28,31
La†Montagne†Sainte-Victoire,Paul†Cezanne,65,67
GarÁon†‡†la†pipe,Pablo†Picasso,24,91
Flag[note†12],Jasper†Johns,25,93
